last_name,first_name,num_present_characters,mobility_coefficient,sigma_iarkho,polylogues,monologues,open_form_score
Billard-Dumonceau,Edme,7.0,42.0,1.29,40.48,23.81,-0.36
de Neufchâteau,Nicolas François,9.0,73.0,0.87,24.66,30.14,-0.38
Scudery,Georges de,10.0,33.0,1.61,30.3,27.27,-0.4
Brosse,Abraham,8.0,33.0,1.1,33.33,12.12,-0.41
Campistron,Jean Galbert de,9.0,38.0,1.33,28.95,21.05,-0.41
de Rochefort,Guillaume Dubois,9.0,55.0,0.92,27.27,21.82,-0.42
Fagan,Barthélemy-Christophe,9.0,48.0,1.3,27.08,27.08,-0.43
Roucher,J.F.,8.0,56.0,1.16,32.14,30.36,-0.43
Desmarets de Saint-Sorlin,Jean,9.0,34.0,0.87,38.24,14.71,-0.45
Montesson,Madame de,12.0,46.0,0.91,23.91,21.74,-0.46
Michaud,L. G.,11.0,35.0,0.84,34.29,17.14,-0.46
Fabre d'Églantine,,10.0,47.5,1.06,25.88,24.68,-0.49
Rochon de Chabannes,Marc-Antoine-Jacques,8.0,55.0,0.99,27.27,25.45,-0.51
Borel,,11.0,57.0,0.83,21.05,28.07,-0.56
L'Estoile,Claude,10.0,46.0,1.13,28.26,30.43,-0.57
Dubuisson,Pierre-Ulric,10.0,35.0,1.16,31.43,25.71,-0.57
Boissy,Louis de,8.71,45.57,0.95,26.61,21.89,-0.58
Chevreau,Urbain,9.0,30.0,1.19,33.33,23.33,-0.61
Corneille,Pierre,10.12,42.0,0.95,23.08,21.49,-0.61
Reynier,L.,10.0,49.0,0.99,24.49,30.61,-0.66
Nivelle de la Chaussée,Pierre Claude,8.75,42.75,1.02,24.03,24.91,-0.69
Descazeaux Des Granges,,10.0,47.0,0.92,23.4,29.79,-0.73
Rotrou,Jean de,10.0,45.0,1.09,22.22,33.33,-0.76
Capuran,Louis-Benoit,9.0,42.0,0.91,28.57,28.57,-0.76
La Noue,Jean-Baptiste,9.0,49.0,0.73,22.45,24.49,-0.76
Ancien militaire,,9.0,52.0,1.04,21.15,34.62,-0.78
Gresset,Jean-Baptiste,9.0,56.0,0.83,10.71,25.0,-0.79
Courtial,,8.0,34.0,1.11,32.35,32.35,-0.86
Imbert,Barthélemy,9.0,63.0,0.79,15.87,38.1,-0.9
Pieyre,Alexandre,9.0,66.0,0.78,13.64,39.39,-0.92
Vigée,Louis-Jean-Baptiste-Étienne,10.0,42.0,0.95,16.67,30.95,-0.93
Delon,,14.0,46.0,0.65,8.7,30.43,-0.94
Bret,Antoine,7.0,49.0,0.83,18.37,32.65,-1.06
Bastide,Jean-François de,6.0,42.0,0.84,19.05,40.48,-1.38
