index	title	last_name	first_name	date	num_acts	url
F_194	Le Jaloux sans amour	Imbert	Barthélemy	1780	5	
F_195	Le Flatteur	Lantier	Étienne François de	1781	5	
F_196	Le Vieux garçon	Dubuisson	Pierre-Ulric	1782	5	
F_197	Tom Jones à Londres	Desforges		1782	5	
F_198	"Le Suborneur, comédie en cinq actes et en vers"	Billard-Dumonceau	Edme 	1782	5	
F_200	Le Séducteur	Bièvre	Marquis de 	1783	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/BIEVRE_SEDUCTEUR.xml
F_201	La Comtesse de Chazelle	Montesson	"Charlotte-Jeanne Béraud de La Haie de Riou, comtesse de"	1783	5	
F_202	Le Jaloux	Rochon de Chabannes	Marc-Antoine-Jacques	1784	5	
F_203	La Femme jalouse	Desforges		1785	5	
F_204	Le Méfiant	Borel		1785	5	
F_302	Les Deux frères 	de Rochefort	Guillaume Dubois 	1785	5	
F_205	L'Inconstant	Collin d’Harleville	Jean-François	1786	5	
F_206	L'École des Pères	Pieyre	Alexandre	1787	5	
F_207	"Tom Jones et Fellamar, suite de Tom Joncs à Londres"	Desforges		1787	5	
F_208	"Les Embarras du père de famille,Imitation libre du Théâtre Allemand"	Boileau	Marie-Louis-Joseph	1787	5	
F_209	Lanval et Viviane ou les Fées et les chevaliers	André-Murville	Pierre-Nicolas	1788	5	
F_210	Le Faux noble	Chabanon	Michel Paul Guy de 	1788	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CHABANON_FAUXNOBLE.xml
F_211	L'Optimiste ou l'Homme content de tout 	Collin d’Harleville	Jean-François	1788	5	
F_212	La Belle-mère ou les Dangers d'un second mariage	Vigée	Louis-Jean-Baptiste-Étienne	1788	5	
F_213	Les Châteaux en Espagne 	Collin d’Harleville	Jean-François	1789	5	
F_214	"L'Homme d'état imaginaire, comédie en cinq actes, en vers"	Cubières-Palmézeaux	Michel de 	1789	5	
F_216	Le Philinte de Molière	Fabre D'Eglantine		1790	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/FABREDEGLANTINE_PHILINTEDEMOLIERE.xml
F_217	Le Présomptueux ou l'Heureux imaginaire	Fabre d'Églantine		1790	5	
F_218	Le Conciliateur ou l'Homme aimable	Demoustier	Charles-Albert	1791	5	
F_219	L'intrigue épistolaire	Fabre d'Églantine	Philippe-François-Nazaire	1791	5	
F_220	"L'Artiste patriote, ou la Vente des biens nationaux"	Dupuis	Amable-Joseph	1791	5	
F_221	Le Vieux célibataire 	Collin d’Harleville	Jean-François	1792	5	
F_223	L'Ami des lois	Laya	Jean-Louis	1793	5	
F_224	L'Avare fastueux	Reynier	L.	1794	5	
F_225	Paméla ou la Vertu récompensée	François de Neufchâteau	Nicolas	1795	5	
F_226	Le tolérant ou La tolérance morale et religieuse	Demoustier	Charles-Albert	1795	5	
F_227	Le misanthrope travesti	Daubian	Josèp	1797	5	
F_228	Médiocre et rampant ou Le moyen de parvenir 	Picard	Louis-Benoît 	1797	5	
F_229	"L'Entrée dans le monde , comédie en cinq actes, en vers"	Picard	Louis-Benoît 	1798	5	
F_230	Les Précepteurs	Fabre d'Églantine	Philippe-François-Nazaire	1799	5	
F_232	Les Moeurs du Jour ou Le Bon Frère	Collin d’Harleville	Jean-François	1800	5	
F_233	Le Démocrate désabusé ou la France en 1792	de Planard	Eugène 	1800	5	
F_234	"L'Ami de cour, comédie en cinq actes et en vers"	"Ancien militaire, Un. Auteur du texte"		1801	5	
F_235	"L'Homme À Sentiments ou Le Tartuffe de moeurs, imitée en partie de The School for Scandal de Shéridan"	Chéron de la Bruyére 	Louis-Claude	1801	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CHERON_HOMMEABONNESFORTUNES.xml
F_236	"L'Auberge allemande, ou Le traître démasqué , comédie en cinq actes, en vers, imitée de l'allemand, par les citoyens*** et Chazel, père "	Dorvo	Hyacinthe	1801	5	
